@relation predicate

@attribute isHome {home,away}
@attribute victoireHome numeric
@attribute victoireAway numeric
@attribute nbreButLastMatch numeric
@attribute ageMoyen numeric
@attribute classement numeric
@attribute forceAttaqueEquiHome numeric
@attribute forceAttaqueEquiAway numeric
@attribute forceDefEquiHome numeric
@attribute forceDefEquiaway numeric
@attribute result {gagne,perd,egalite}

@data
home,0.3809524,0.33333334,5.0,24.0,2.0,0.33333334,0.6666667,0.3333333,0.6666666,perd
home,0.2857143,0.23809524,5.0,24.0,10.0,0.0,0.0,1.0,1.0,egalite
home,0.57894737,0.36842105,5.0,24.0,18.0,1.0,0.0,1.0,0.0,gagne
home,0.57894737,0.31578946,5.0,24.0,4.0,0.5,0.5,0.5,0.5,egalite
home,0.47368422,0.42105263,5.0,24.0,5.0,0.0,0.0,1.0,1.0,egalite
home,0.5263158,0.2631579,5.0,24.0,7.0,1.0,0.0,1.0,0.0,gagne
home,0.42105263,0.36842105,5.0,24.0,6.0,0.75,0.25,0.75,0.25,gagne
home,0.42105263,0.2631579,5.0,24.0,6.0,1.0,0.0,1.0,0.0,gagne
home,0.42105263,0.21052632,5.0,24.0,8.0,0.6,0.4,0.6,0.39999998,gagne
home,0.57894737,0.05263158,5.0,24.0,8.0,0.75,0.25,0.75,0.25,gagne
home,0.47368422,0.31578946,5.0,24.0,0.0,1.0,0.0,1.0,0.0,gagne
home,0.42105263,0.21052632,5.0,24.0,6.0,0.75,0.25,0.75,0.25,gagne
home,0.31578946,0.21052632,5.0,24.0,10.0,1.0,0.0,1.0,0.0,gagne
home,0.36842105,0.21052632,5.0,24.0,16.0,0.5,0.5,0.5,0.5,egalite
home,0.5263158,0.31578946,5.0,24.0,11.0,0.5,0.5,0.5,0.5,egalite
home,0.36842105,0.5263158,5.0,24.0,6.0,0.0,1.0,0.0,1.0,perd
home,0.42105263,0.47368422,5.0,24.0,6.0,1.0,0.0,1.0,0.0,gagne
home,0.42105263,0.21052632,5.0,24.0,6.0,0.33333334,0.6666667,0.3333333,0.6666666,perd
home,0.21052632,0.15789473,5.0,24.0,9.0,1.0,0.0,1.0,0.0,gagne
home,0.2,0.18181819,5.0,24.0,16.0,0.0,0.0,1.0,1.0,egalite
home,0.31578946,0.21052632,5.0,24.0,15.0,0.25,0.75,0.25,0.75,perd
home,0.2631579,0.2631579,5.0,24.0,15.0,1.0,0.0,1.0,0.0,gagne
home,0.0,0.14285715,5.0,24.0,17.0,0.0,0.0,1.0,1.0,egalite
